"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","567725","A","","","0"
"2024-09","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","565870","A","","","0"
"2024-10","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","545315","A","","","0"
"2024-11","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","506750","A","","","0"
"2024-12","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","439590","A","","","0"
"2024-08","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","17371135","A","","","0"
"2024-09","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","17162570","A","","","0"
"2024-10","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","17473705","A","","","0"
"2024-11","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","17509935","A","","","0"
"2024-12","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","17398305","A","","","0"
"2024-08","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","3.2","A","","","1"
"2024-09","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","3.2","A","","","1"
"2024-10","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","3.0","A","","","1"
"2024-11","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","2.8","A","","","1"
"2024-12","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","2.5","A","","","1"
"2024-08","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","5920","C","","","0"
"2024-09","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","4310","C","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","4875","C","","","0"
"2024-11","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","4280","D","","","0"
"2024-12","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","4195","C","","","0"
"2024-08","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","218225","A","","","0"
"2024-09","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","207765","A","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","189745","A","","","0"
"2024-11","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","212610","B","","","0"
"2024-12","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","200840","A","","","0"
"2024-08","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.6","C","","","1"
"2024-09","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.0","C","","","1"
"2024-10","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.5","C","","","1"
"2024-11","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.0","D","","","1"
"2024-12","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.0","C","","","1"
"2024-08","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","1955","C","","","0"
"2024-09","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","3565","D","","","0"
"2024-10","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","1905","E","","","0"
"2024-11","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","1885","D","","","0"
"2024-12","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","2820","C","","","0"
"2024-08","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","75560","A","","","0"
"2024-09","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","74055","A","","","0"
"2024-10","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","75190","A","","","0"
"2024-11","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","73995","A","","","0"
"2024-12","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","69730","A","","","0"
"2024-08","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","2.5","C","","","1"
"2024-09","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","4.6","C","","","1"
"2024-10","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","2.5","E","","","1"
"2024-11","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","2.5","D","","","1"
"2024-12","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","3.9","C","","","1"
"2024-08","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","15520","B","","","0"
"2024-09","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","14870","B","","","0"
"2024-10","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","13215","B","","","0"
"2024-11","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","13725","C","","","0"
"2024-12","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","12625","B","","","0"
"2024-08","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","473540","A","","","0"
"2024-09","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","434165","A","","","0"
"2024-10","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","457200","A","","","0"
"2024-11","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","474310","A","","","0"
"2024-12","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","431035","A","","","0"
"2024-08","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","3.2","B","","","1"
"2024-09","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","3.3","B","","","1"
"2024-10","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","2.8","B","","","1"
"2024-11","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","2.8","C","","","1"
"2024-12","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","2.8","B","","","1"
"2024-08","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","8690","B","","","0"
"2024-09","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","8880","B","","","0"
"2024-10","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","10720","B","","","0"
"2024-11","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","8055","C","","","0"
"2024-12","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","7595","C","","","0"
"2024-08","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","323055","A","","","0"
"2024-09","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","338790","A","","","0"
"2024-10","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","335060","A","","","0"
"2024-11","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","311590","A","","","0"
"2024-12","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","334990","A","","","0"
"2024-08","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","2.6","B","","","1"
"2024-09","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","2.6","B","","","1"
"2024-10","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","3.1","B","","","1"
"2024-11","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","2.5","B","","","1"
"2024-12","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","2.2","C","","","1"
"2024-08","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","124435","A","","","0"
"2024-09","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","120290","A","","","0"
"2024-10","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","136330","A","","","0"
"2024-11","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","111840","A","","","0"
"2024-12","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","103405","A","","","0"
"2024-08","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3885470","A","","","0"
"2024-09","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3816505","A","","","0"
"2024-10","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3927515","A","","","0"
"2024-11","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3930730","A","","","0"
"2024-12","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3907285","A","","","0"
"2024-08","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","3.1","A","","","1"
"2024-09","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","3.1","A","","","1"
"2024-10","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","3.4","A","","","1"
"2024-11","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","2.8","A","","","1"
"2024-12","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","2.6","A","","","1"
"2024-08","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","191980","A","","","0"
"2024-09","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","196180","A","","","0"
"2024-10","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","183025","A","","","0"
"2024-11","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","181835","A","","","0"
"2024-12","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","149065","A","","","0"
"2024-08","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","6727540","A","","","0"
"2024-09","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","6665960","A","","","0"
"2024-10","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","6754295","A","","","0"
"2024-11","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","6767735","A","","","0"
"2024-12","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","6749715","A","","","0"
"2024-08","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","2.8","A","","","1"
"2024-09","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","2.9","A","","","1"
"2024-10","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","2.6","A","","","1"
"2024-11","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","2.6","A","","","1"
"2024-12","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","2.2","A","","","1"
"2024-08","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","20360","B","","","0"
"2024-09","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","20820","B","","","0"
"2024-10","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","22430","B","","","0"
"2024-11","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","16695","C","","","0"
"2024-12","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","19125","B","","","0"
"2024-08","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","611315","A","","","0"
"2024-09","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","600040","A","","","0"
"2024-10","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","611690","A","","","0"
"2024-11","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","614585","A","","","0"
"2024-12","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","611625","A","","","0"
"2024-08","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","3.2","B","","","1"
"2024-09","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","3.4","B","","","1"
"2024-10","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","3.5","B","","","1"
"2024-11","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","2.6","C","","","1"
"2024-12","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","3.0","B","","","1"
"2024-08","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","19985","B","","","0"
"2024-09","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","19105","B","","","0"
"2024-10","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","17300","B","","","0"
"2024-11","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","14055","C","","","0"
"2024-12","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","16170","C","","","0"
"2024-08","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1212389387","9.3","496310","A","","","0"
"2024-09","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1212389387","9.3","481720","A","","","0"
"2024-10","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1212389387","9.3","508735","A","","","0"
"2024-11","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1212389387","9.3","512690","A","","","0"
"2024-12","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v1212389387","9.3","502500","A","","","0"
"2024-08","Saskatchewan","2016A000247","Job vacancy rate","Percent","239","units","0","v1212389389","9.4","3.9","B","","","1"
"2024-09","Saskatchewan","2016A000247","Job vacancy rate","Percent","239","units","0","v1212389389","9.4","3.8","B","","","1"
"2024-10","Saskatchewan","2016A000247","Job vacancy rate","Percent","239","units","0","v1212389389","9.4","3.3","B","","","1"
"2024-11","Saskatchewan","2016A000247","Job vacancy rate","Percent","239","units","0","v1212389389","9.4","2.7","C","","","1"
"2024-12","Saskatchewan","2016A000247","Job vacancy rate","Percent","239","units","0","v1212389389","9.4","3.1","B","","","1"
"2024-08","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1212389391","10.1","82910","A","","","0"
"2024-09","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1212389391","10.1","76515","B","","","0"
"2024-10","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1212389391","10.1","64200","A","","","0"
"2024-11","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1212389391","10.1","66085","B","","","0"
"2024-12","Alberta","2016A000248","Job vacancies","Number","223","units","0","v1212389391","10.1","55595","B","","","0"
"2024-08","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1212389390","10.3","2094260","A","","","0"
"2024-09","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1212389390","10.3","2094750","A","","","0"
"2024-10","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1212389390","10.3","2101735","A","","","0"
"2024-11","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1212389390","10.3","2119645","A","","","0"
"2024-12","Alberta","2016A000248","Payroll employees","Number","223","units","0","v1212389390","10.3","2111885","A","","","0"
"2024-08","Alberta","2016A000248","Job vacancy rate","Percent","239","units","0","v1212389392","10.4","3.8","A","","","1"
"2024-09","Alberta","2016A000248","Job vacancy rate","Percent","239","units","0","v1212389392","10.4","3.5","B","","","1"
"2024-10","Alberta","2016A000248","Job vacancy rate","Percent","239","units","0","v1212389392","10.4","3.0","A","","","1"
"2024-11","Alberta","2016A000248","Job vacancy rate","Percent","239","units","0","v1212389392","10.4","3.0","B","","","1"
"2024-12","Alberta","2016A000248","Job vacancy rate","Percent","239","units","0","v1212389392","10.4","2.6","B","","","1"
"2024-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","93990","A","","","0"
"2024-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","98340","B","","","0"
"2024-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","88855","B","","","0"
"2024-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","86340","B","","","0"
"2024-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","66700","B","","","0"
"2024-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2404725","A","","","0"
"2024-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2387640","A","","","0"
"2024-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2452170","A","","","0"
"2024-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2431765","A","","","0"
"2024-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2420200","A","","","0"
"2024-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","A","","","1"
"2024-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.0","A","","","1"
"2024-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.5","B","","","1"
"2024-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","B","","","1"
"2024-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","2.7","B","","","1"
"2024-08","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","700","E","","","0"
"2024-09","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","1165","D","","","0"
"2024-10","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","800","E","","","0"
"2024-11","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","450","E","","","0"
"2024-12","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","","F","","","0"
"2024-08","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20685","A","","","0"
"2024-09","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20920","A","","","0"
"2024-10","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20605","A","","","0"
"2024-11","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20720","A","","","0"
"2024-12","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","19755","D","","","0"
"2024-08","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","3.3","D","","","1"
"2024-09","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","5.3","D","","","1"
"2024-10","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","3.7","E","","","1"
"2024-11","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","2.1","E","","","1"
"2024-12","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","","F","","","1"
"2024-08","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","770","D","","","0"
"2024-09","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","1250","D","","","0"
"2024-10","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","1200","E","","","0"
"2024-11","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","920","D","","","0"
"2024-12","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","820","D","","","0"
"2024-08","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22875","A","","","0"
"2024-09","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22735","A","","","0"
"2024-10","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22510","B","","","0"
"2024-11","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22330","A","","","0"
"2024-12","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","21805","A","","","0"
"2024-08","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.3","D","","","1"
"2024-09","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","5.2","D","","","1"
"2024-10","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","5.1","D","","","1"
"2024-11","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.9","D","","","1"
"2024-12","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.6","D","","","1"
"2024-08","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-09","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-10","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-11","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","590","D","","","0"
"2024-12","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-08","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17565","C","","","0"
"2024-09","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17520","A","","","0"
"2024-10","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17255","A","","","0"
"2024-11","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17230","A","","","0"
"2024-12","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","16935","A","","","0"
"2024-08","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"
"2024-09","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"
"2024-10","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","2.6","E","","","1"
"2024-11","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","3.3","D","","","1"
"2024-12","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"


